"Country",1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Bahrain,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,32.36250893,28.53574723,29.39884614,26.69472197,26.13623338,25.06985834,22.67783334,30.98813711,25.69694322,27.06904962,22.15352534,26.54012382,30.58004548,28.09029217,24.99298381,23.90660165,23.13194396,22.3993546,22.68282051,24.59274649,31.07343454,30.16734228,31.11310813,31.95125518,27.28463389,34.84691149,33.27704549,30.6834814,32.06945083,31.23181073,34.58791791,30.62891046,27.39920491,29.84171171
Bangladesh,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,9.137852508,8.862055408,8.796619222,9.739478093,10.04848588,10.46215887,9.791327417,9.888545795,9.820550437,8.657617112,9.755794688,10.72961742,10.35568968,10.15224655,9.884659337,10.2625539,10.12689556,9.626748827,11.53966629,10.57558394,10.60109211,11.53421356,11.69469617,12.08754092,11.7480361,11.50314101,11.60095211,12.23517375,12.95035556,13.55218191,13.30821865,12.9171708,13.03466683,12.78515339
Barbados,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,16.80236295,18.28259317,20.1472357,20.69535439,18.76549283,19.52508515,20.80979391,21.87722965,30.77206989,29.27095241,27.67833281,27.8744676,26.38939268,27.60276704,28.59333185,29.39857538,29.49250307,27.76941728,30.40213239,30.80869261,29.10503856,31.3455837,30.44683501,29.69350211,26.67044509,23.54154827,32.60593353,30.3781923,29.42687844,28.27358936
Belgium,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,6.013909817,6.185619831,6.07558012,6.834640026,6.695489883,9.007180214,6.172229767,6.69975996,6.879610062,11.29380035,7.462379932,6.398620129,5.865680218,7.3259902,6.038119793,6.338860035,6.18170023,6.412899971,5.772610188,5.184120178,5.155469894,4.905509949,4.888780117,5.064280033,5.325039864,5.04034996,5.074319839,5.404650211,5.620709896,5.234610081,5.233409882,5.209489822,4.929599762,4.737840176,4.700270176,4.801970005,5.102779865,4.511529922,5.874680042,5.214849949,5.610010147,5.794449806,7.593319893,6.981810093,7.025969982,6.179329872,6.32020998,6.701660156,7.038909912,8.030619621,8.329400063,8.695420265,8.292719841,8.260000229,8.173589706,8.744379997,8.403010368,8.678850174,8.519300461,8.783740044,9.222089767,9.513219833,10.91800022,14.3757,10.7407999,9.899279594,10.4343996,10.67210007,10.77880001,8.544939995,9.611809731,10.75269985,10.42319965,10.35410023,11.06229973,10.77499962,10.18620014,10.55090046,10.79419994,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,31.46640015,no data,no data,19.2656002,no data,no data,19.09020042,no data,no data,22.65180016,22.45359993,22.68899918,21.2052002,21.74080086,22.21170044,24.30310059,no data,no data,no data,36.36360168,no data,no data,33.37210083,36.1651001,21.0291996,19.4144001,22.85309982,22.00979996,23.49650002,21.82449913,22.52339935,20.8314991,19.83569908,19.60149956,22.28409958,24.4843998,23.74990082,22.10409927,22.47450066,23.10239983,22.51390076,23.44400024,25.13010025,25.48920059,26.6704998,26.49839973,42.66019821,43.86840057,45.03430176,44.97819901,44.52069855,50.19020081,50.42039871,52.17250061,52.75799942,54.82210159,54.8905983,61.54150009,59.62440109,62.18629837,59.09030151,58.38430023,57.58530045,55.77180099,53.86180115,52.31850052,52.30759811,53.5163002,53.79199982,54.89440155,52.58769989,52.10200119,52.42350006,51.16109848,50.36019897,50.11780167,49.07820129,49.11449814,49.7743988,51.04119873,49.34719849,52.0760994,48.60300064,48.31999969,49.89970016,53.82799911,52.94229889,55.30441421,56.47752962,56.11624415,55.59977072,53.71958858,53.11766279,52.03028873,52.2650967,51.90934996,58.89954075,54.86115868,53.25100052,54.5820157
Belize,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,20.44180674,20.58110995,21.79866618,24.82868978,24.35131806,26.83623364,25.2961606,25.35213266,22.40397994,22.11473427,21.25081665,22.14811871,21.85787394,23.27032924,23.43704037,23.63725761,22.26054129,23.96597842,24.96941203,27.92706512,27.64945234,27.6612235,26.85001323,27.46755092,33.14618787,25.77560598,22.96630701,24.26813903
Benin,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,17.08005639,18.12230992,17.22628426,18.40174762,16.37844361,18.53143141,20.19601602,18.15078481,17.34923811,14.88423489,10.74597005,15.64145423,15.4474579,15.28399511,13.68591036,13.35955213,14.13852488,13.00582298,15.80946551,14.54941707,16.99679649,14.07577898,14.72778322,14.23593316,14.8940283,14.22455653,18.15256298,15.42778642,17.78497173,16.56750801,14.6011117,19.07097165,19.85493216,19.86393931,19.17005986
Bhutan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,47.45674933,45.3433192,46.80895544,35.84568167,30.80640589,34.45555634,35.21269648,37.87543151,38.60988209,37.88509967,37.82869137,31.10480346,40.17193128,43.03003258,50.30010703,39.3050309,34.72426852,30.99760942,36.43138293,33.42775783,33.19401898,36.10068713,39.30727786,42.02461683,36.82776248,35.77640734,33.03774702,29.12493479,27.65413963,30.36735698,30.79834095,31.69220448,24.24815408,30.94779827,36.6293017,32.08789817,28.99857796
Bolivia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,5.130430222,4.637499809,3.915889978,2.75229001,2.37342,1.732179999,2.792890072,9.222970009,9.848259926,11.72970009,10.13619995,10.67319965,10.21210003,10.79150009,10.84640026,12.92479992,12.86789989,13.10840034,14.12870026,12.31439972,10.03380013,11.26179981,11.81369972,14.05739975,14.22469997,14.3920002,16.79899979,18.64139938,17.3321991,17.99550056,19.77160072,16.61330032,24.98676333,32.07229012,29.02813877,21.78180045,22.23062919,24.41920156,23.97509342,24.40881884,22.77613215,24.18092033,25.25327797,27.18143385,26.76665075,25.78057966,26.04760684,28.27968646,29.97289952,29.36430855,29.31436442,31.95486251,33.292648,31.9897384,32.34451189,33.18251324,29.83408691,32.65260244,35.33283538,33.20350889,31.49965639,35.35582063,36.0381816,38.43785384,43.25670383,44.58523942,39.92912071,38.59775613,37.09449656,36.06584907,37.976146,34.39998928,34.66125464,38.06024896
Bosnia and Herzegovina,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,54.42815584,57.50253458,56.30567709,50.35055329,47.55668877,47.4110974,45.59691935,45.70466243,45.66991743,46.55038112,49.41707687,49.01173644,48.71782284,46.42035702,46.9259106,44.52282939,46.26959316,42.68854649,41.45538011,39.98146666,40.42331932,39.91470368,45.38523645,39.85646734,38.63250517,42.45776817
Brazil,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,24.1935997,23.96549988,24.38599968,22.1739006,28.51849937,25.07939911,21.69009972,22.87879944,22.96879959,28.18180084,25.6977005,14.0763998,14.2347002,13.03030014,14.18249989,12.36559963,12.68039989,11.88090038,23.91869926,12.38529968,15.50469971,13.75730038,10.27589989,12.51720047,14.46879959,13.8888998,13.21879959,14.10809994,13.8107996,12.33329964,13,12.39999962,13.84210014,13.38599968,16.31920052,15.31110001,14.3125,14.56359959,15.76360035,11.22889996,12.52040005,11.89000034,11.89999962,9.806249619,7.264999866,7.985459805,7.92869997,8.034399986,7.207859993,8.898400307,11.20499992,11.30060005,15.88720036,12.58839989,12.20079994,9.573329926,8.719189644,9.866430283,9.208889961,9.632439613,10.81019974,10.66590023,10.93659973,9.719849586,11.81589985,11.48560047,9.596280098,7.200640202,8.049030304,9.011569977,8.702130318,7.618979931,8.048839569,8.349309921,8.85474968,7.632259846,7.513589859,8.19933033,8.534689903,7.926509857,13.70559978,12.0010004,23.05089951,22.76959991,25.3939991,14,14.60000038,13.5,14.39999962,11.19999981,11.39999962,11.69999981,12.60000038,11,10.5,10.69999981,10.60000038,10.39999962,10.19999981,9,6.800000191,7.800000191,8.100000381,9.699999809,10,11.10000038,11.69999981,no data,no data,no data,no data,no data,no data,no data,no data,no data,38.24935616,38.60092975,40.90043162,39.58862498,34.48192777,39.80229888,44.49477701,41.28817295,39.68067961,41.87030897,42.56279964,40.35175432,39.91557928,40.53659402,39.5158767,39.36725407,39.30980508,39.78084068,41.42643156,46.19129646,45.50329577,44.29733135,44.18065947,43.0428764,46.17842199,40.37098875,43.4453309,45.44919503
Bulgaria,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,14.59200001,13.7816,11.28919983,12.63360023,14.73950005,18.65929985,16.90430069,14.65159988,14.31799984,15.26830006,12.03829956,15.36460018,15.46749973,15.07919979,14.13140011,14.05080032,14.28509998,18.45280075,23.01230049,13.4048996,10.13239956,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,45.44260025,43.99750137,32.8893013,30.60484645,36.15622785,37.13010687,36.47715012,35.07466323,35.76464007,34.61059005,34.03333597,32.5009256,33.11417945,33.45220215,33.77147743,34.55402281,31.95400676,32.51875951,35.46998658,37.08045613,37.32952159,32.72467372,32.02847973,34.32653568,35.86879568,37.81082077,38.6066377,37.68952685,37.74231224
Burkina Faso,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,11.46961722,16.30977284,19.23225719,16.20867133,14.18297462,18.42248137,16.96855283,16.7498448,17.86468498,17.82985446,19.43548402,19.75207986,20.02601935,19.7406434,21.39428494,19.82713696,19.65976603,19.46650921,17.59845392,20.25718415,20.21697232,21.87810798,22.83847893,18.59056787,21.51911554,21.65504807,20.43603138,22.66797569,25.26057384,20.92772387,20.35874226,21.63252188,26.26181454,24.19157304,23.4372541,24.54169984,27.885742,32.43480047,29.18507741
